id,popularity,original_title,cast,director,tagline,keywords,overview,genres,release_year
1809,0.481286,The Rules of Attraction,James Van Der Beek|Shannyn Sossamon|Ian Somerhalder|Jessica Biel|Kate Bosworth,Roger Avary,We all run on instinct.,love triangle|independent film|multiple narrators|multiple storylines,"The incredibly spoiled and overprivileged students of Camden College are a backdrop for an unusual love triangle between a drug dealer, a virgin and a bisexual classmate.",Romance|Comedy|Drama,2002
16077,0.478278,My Little Eye,Sean Cw Johnson|Kris Lemche|Stephen O'Reilly|Laura Regan|Jennifer Sky,Marc Evans,,camera|video surveillance|murder|observation,Five young people apply to live in an isolated house together for six months whilst their every move is filmed by numerous cameras.,Horror|Thriller,2002
11246,0.474917,Hellraiser: Hellseeker,Dean Winters|Ashley Laurence|Rachel Hayward|Sarah-Jane Redmond|Doug Bradley,Rick Bota,Evil. Deadly. Immortal.,hallucination|supernatural|pinhead|psychiatry|guilty conscience,"Kirsty Cotten is now all grown up and married. Her memory of the events that took place back at her parent's home and the mental institution have dimmed, but she is still traumatized. A fatal car crash kills Kirsty. Now, her husband finds himself in a strange world full of sexy women, greed and murder, making him believe that he is in hell.",Horror|Thriller|Mystery,2002
14365,0.472916,Killing Me Softly,Heather Graham|Joseph Fiennes|Natascha McElhone|Ulrich Thomsen|Ian Hart,Chen Kaige,How do you escape... what you can't resist?,sex|bondage|obsession|nudity|dangerous,A woman (Heather Graham) grows suspicious of her controlling husband (Joseph Fiennes) after she discovers secrets about the women in his past.,Drama|Thriller|Mystery|Romance,2002
150004,0.469332,Taken,Dakota Fanning|Matt Frewer|Eric Close|Emily Bergl|Heather Donahue,Breck Eisner|FÃ©lix EnrÃ­quez AlcalÃ¡|John Fawcett|Tobe Hooper|Jeremy Kagan|Michael Katleman|Sergio Mimica-Gezzan|Bryan Spicer|Thomas J. Wright,Some secrets we keep. Some are kept from us,,"Taken spans five decades and four generations, centering on three families: the Keys, Crawfords, and Clarkes. World War II veteran Russell Keys is plagued by nightmares of his abduction by aliens during the war; the Roswell incident transforms Owen Crawford from ambitious Air Force captain to evil shadow government conspirator; the unhappily married Sally Clarke is impregnated by an alien visitor. As the decades go by, the heirs of each are affected by the machinations of the aliens, culminating with the birth of Allie Keys, who is the final product of the aliens' experimentation and holds the key to their future",Science Fiction,2002
10550,0.455247,Ballistic: Ecks vs. Sever,Antonio Banderas|Lucy Liu|Gregg Henry|Ray Park|Talisa Soto,Wych Kaosayananda,,loss of family|enemy|adversary|agent,"Jonathan Ecks, an FBI agent, realizes that he must join with his lifelong enemy, Agent Sever, a rogue DIA agent with whom he is in mortal combat, in order to defeat a common enemy. That enemy has developed a ""micro-device"" that can be injected into victims in order to kill them at will.",Action|Adventure|Thriller,2002
9932,0.446326,Analyze That,Robert De Niro|Billy Crystal|Lisa Kudrow|Joe Viterelli|Cathy Moriarty,Harold Ramis,Back in therapy,prison|gold|therapist|gangster,"The mafia's Paul Vitti is back in prison and will need some serious counseling when he gets out. Naturally, he returns to his analyst Dr. Ben Sobel for help and finds that Sobel needs some serious help himself as he has inherited the family practice, as well as an excess stock of stress.",Comedy|Crime,2002
9039,0.445162,Trapped,Charlize Theron|Kevin Bacon|Courtney Love|Stuart Townsend|Dakota Fanning,Luis Mandoki,It was the perfect plan until she refused to be the perfect victim!,ransom|hostage|kidnapper|telephone|psychopath,"When their daughter is kidnapped by experienced nappers (Bacon and Love), the Jennings' (Theron and Townsend) turn the tables on this seemingly foolproof plan.",Action|Crime|Drama|Thriller,2002
17774,0.445103,Derailed,Jean-Claude Van Damme|Tomas Arana|Laura Harring|Simona Williams|Susan Gibney,Bob Misiorowski,The deadliest disease ever discovered is about to be unleashed on the world.,biological weapon|train|train explosion|runaway train,"NATO undercover operative Jack Logan (Van Damme) must cut a family vacation short when he's called away for a top secret assignment involving a sexy and much sought-after international thief, Galina Konstantin, who wants to get past the Slovakian border and safely into Frankfurt. Things seem to be going smoothly as Jack and Galina board the train posing as a couple,but soon, all hell breaks loose.",Action|Thriller,2002
9689,0.444428,Hollywood Ending,Woody Allen|George Hamilton|TÃ©a Leoni|Debra Messing|Mark Rydell,Woody Allen,It's going to be a shot in the dark!,blindness and impaired vision|creative crisis|film director,"Woody Allen stars as Val Waxman, a two-time Oscar winner turned washed-up, neurotic director in desperate need of a comeback. When it comes, Waxman finds himself backed into a corner: Work for his ex-wife Ellie or forfeit his last shot. Is Val blinded by love when he opts for the reconnect? Is love blind when it comes to Ellie's staunch support? Literally and figuratively, the proof is the picture.",Comedy|Drama,2002
12079,0.441684,Spun,Jason Schwartzman|Mickey Rourke|Brittany Murphy|John Leguizamo|Chloe Hunter,Jonas Ã…kerlund,The ultimate speed freak's tale.,independent film|speed freak|junky cop|boy toy|porn magazine,"Over the course of three days Ross, a college dropout addicted to crystal-meth, encounters a variety of oddball folks - including a stripper named Nikki and her boyfriend, the local meth producer, The Cook - but all he really wants to do is hook up with his old girlfriend, Amy.",Comedy|Crime|Drama,2002
15028,0.440499,Clockstoppers,Jesse Bradford|Paula GarcÃ©s|Robin Thomas|French Stewart|Michael Biehn,Jonathan Frakes,"The adventure of a lifetime, in a few mere seconds.",time|airplane|youth|wristwatch,"Until now, Zak Gibbs' greatest challenge has been to find a way to buy a car. But when he discovers an odd wristwatch amidst his father's various inventions and slips it on -- something very strange happens. The world around him seems to come to a stop, everything and everybody frozen in time. Zak quickly learns how to manipulate the device and he and his quick-witted and beautiful new friend, Francesca, start to have some real fun.",Adventure|Family|Science Fiction|Thriller,2002
11442,0.431515,Halloween: Resurrection,Jamie Lee Curtis|Brad Loree|Busta Rhymes|Bianca Kajlich|Katee Sackhoff,Rick Rosenthal,Evil finds its way home,brother sister relationship|innocence|serial killer|michael myers,"Serial Killer Michael Myers is not finished with Laurie Strode, and their rivalry finally comes to an end. But is this the last we see of Myers? Freddie Harris and Nora Winston are reality programmers at DangerTainment, and are planning to send a group of 6 thrill-seeking teenagers into the childhood home of Myers. Cameras are placed all over the house and no one can get out of the house... and then Michael arrives home!",Horror|Thriller,2002
11468,0.427389,Salton Sea,Val Kilmer|Vincent D'Onofrio|Adam Goldberg|Luis GuzmÃ¡n|Doug Hutchison,D.J. Caruso,"If you're looking for the truth, you've come to the wrong place.",dual identity|identity|war on drugs|jazz musician|drug scene,"After the murder of his beloved wife, a man in search of redemption is set adrift in a world where nothing is as it seems. On his journey, he befriends slacker Jimmy ""The Finn"", becomes involved in rescuing his neighbor Colette from her own demons, and gets entangled in a web of deceit full of unexpected twists and turns.",Drama|Mystery|Thriller,2002
11880,0.42722,Dog Soldiers,Sean Pertwee|Kevin McKidd|Emma Cleasby|Liam Cunningham|Thomas Lockyer,Neil Marshall,Six men. Full moon. No chance.,werewolf,"A squad of British soldiers on training in the lonesome Scottish wilderness find a wounded Special Forces captain and the carnaged remains of his team. As they encounter zoologist Megan, it turns out that werewolves are active in the region. They have to prepare for some action as the there will be a full moon tonight...",Horror|Action|Thriller,2002
2017,0.426888,The House on Turk Street,Samuel L. Jackson|Milla Jovovich|Stellan SkarsgÃ¥rd|Doug Hutchison|Joss Ackland,Bob Rafelson,HE was more than a cop. SHE was more than a thief.,suicide|new york|female nudity|insulin|flying,"While doing a friend a favor and searching for a runaway teenager, a police detective stumbles upon a bizarre band of criminals about to pull off a bank robbery.",Action|Crime|Drama|Mystery|Thriller,2002
11870,0.416292,Big Fat Liar,Frankie Muniz|Paul Giamatti|Amanda Bynes|Amanda Detmer|Donald Faison,Shawn Levy,The truth is never overrated,screenplay|film producer|auto|right and justice|liar,"Fourteen-year-old Jason Shepherd (Muniz) has a reputation for stretching the truth. So, when big-time Hollywood producer Marty Wolf (Paul Giamatti) steals his class paper and turns it into a smash movie, no one believes Jason's latest tall tale! On a cross-country adventure to set the record straight, Jason and best friend Kaylee (Bynes) devise a high-tech plan to squeeze the truth out of Wolf.",Comedy|Family,2002
